Número de Serie (Número de serie),ID (Número de serie),Nombre (en la base de datos),Cantidad actual,Ubicado en almacén,Tiene accesorios,Códigos QR,Estructura de la carpeta (Carpeta),Tipo de articulo (Carpeta),Código,Nombre (en la base de datos) 2,Tipo (posición/case/set),Nota externa
TKB1KC01,164,Full Case Teradek Bolt 1000 XT Kit Deluxe 01,1,06 A,0,1000844,Full Cases/Kits,Equipos,937,Full Case Teradek Bolt 1000 XT Kit Deluxe 01,case,
,,Adapter Hot Shoe Wooden Camera,2,,0,1000845,Wireless Systems/Accesorios Wireless Systems,Equipos,938,Adapter Hot Shoe Wooden Camera,Articulo,
,,Lock Kit Nato Wooden Camera,2,,0,1000846,Wireless Systems/Accesorios Wireless Systems,Equipos,939,Lock Kit Nato Wooden Camera,Articulo,
,,Adapter 3/8 Light Stand Teradek,2,,0,1000847,Wireless Systems/Accesorios Wireless Systems,Equipos,940,Adapter 3/8 Light Stand Teradek,Articulo,
,,Teradek Screws Kit,2,,0,1000848,Wireless Systems/Accesorios Wireless Systems,Equipos,941,Teradek Screws Kit,Articulo,Estuche de tela (negro) + Tornillos de remplazo
,,Plug Cable Antenna Array N-Male,10,,0,1000849,Wireless Systems/Accesorios Wireless Systems,Equipos,942,Plug Cable Antenna Array N-Male,Articulo,
0196702887,149,Receptor Teradek Bolt 1000 RX,2,,0,1000850,Wireless Systems,Equipos,943,Receptor Teradek Bolt 1000 RX,Articulo,
0196701938,150,Receptor Teradek Bolt 1000 RX,2,,0,1000850,Wireless Systems,Equipos,943,Receptor Teradek Bolt 1000 RX,Articulo,
,,Antenna Multi Panel Array Teradek,2,,0,1000851,Wireless Systems,Equipos,944,Antenna Multi Panel Array Teradek,Articulo,
TKB1KC02,165,Full Case Teradek Bolt 1000 XT Kit Deluxe 02,1,06 A,0,1000852,Full Cases/Kits,Equipos,945,Full Case Teradek Bolt 1000 XT Kit Deluxe 02,case,
ATOM19C02,161,"Full Case Atomos Sumo 19""  02",1,01 A,0,1000853,Full Cases/Kits,Equipos,946,"Full Case Atomos Sumo 19""  02",case,
,,Disco Duro Atomos External SSD 500GB,3,,0,1000854,Archiving/Hardrives,Equipos,947,Disco Duro Atomos External SSD 500GB,Articulo,
,,Atom X Handle,3,,0,1000855,Monitores/Accesorios Monitores,Equipos,948,Atom X Handle,Articulo,
ATOM19C01,160,"Full Case Atomos Sumo 19"" 01",1,01 A,0,1000857,Full Cases/Kits,Equipos,950,"Full Case Atomos Sumo 19"" 01",case,
ATOM19C03,182,"Full Case Atomos Sumo 19"" 03",1,01 A,0,1000858,Full Cases/Kits,Equipos,951,"Full Case Atomos Sumo 19"" 03",case,
ATOM19C04,163,"Full Case Atomos Sumo 19"" 04",1,01 A,0,1000859,Full Cases/Kits,Equipos,952,"Full Case Atomos Sumo 19"" 04",case,
,,Case Pelican 1600,1,,0,1000861,Maletas/Cases/Bultos/Cases,Equipos,954,Case Pelican 1600,Articulo,
A01246030004752,151,Adaptador Sonnet Solo 10Gb Thunderbolt 2,4,,0,1000866,Wireless Systems,Equipos,955,Adaptador Sonnet Solo 10Gb Thunderbolt 2,Articulo,
A01246030005421,152,Adaptador Sonnet Solo 10Gb Thunderbolt 2,4,,0,1000866,Wireless Systems,Equipos,955,Adaptador Sonnet Solo 10Gb Thunderbolt 2,Articulo,
A01246030005405,256,Adaptador Sonnet Solo 10Gb Thunderbolt 2,4,,0,1000866,Wireless Systems,Equipos,955,Adaptador Sonnet Solo 10Gb Thunderbolt 2,Articulo,
A01246030005430,257,Adaptador Sonnet Solo 10Gb Thunderbolt 2,4,,0,1000866,Wireless Systems,Equipos,955,Adaptador Sonnet Solo 10Gb Thunderbolt 2,Articulo,
AJASPLTC01,170,Full Case AJA Splitter HDTV 01,1,06 B,0,1000874,Full Cases/Kits,Equipos,957,Full Case AJA Splitter HDTV 01,case,
MODULDATA01C,211,Full Case Data / DIT Modulo C,1,07 D,0,1000877,Full Cases/Kits,Equipos,960,Full Case Data / DIT Modulo C,case,
OSY7Q7C01,168,Full Case Odyssey 7Q 01,1,01 C,0,1000878,Full Cases/Kits,Equipos,961,Full Case Odyssey 7Q 01,case,
,,Disco Duro Samsung 1TB 860 EVO SSD,4,,0,1000879,Archiving/Hardrives,Equipos,962,Disco Duro Samsung 1TB 860 EVO SSD,Articulo,
,,Case FSI Flanders Dual,1,,0,1000881,Maletas/Cases/Bultos/Cases,Equipos,964,Case FSI Flanders Dual,Articulo,
,,Disco Duro LACIE Rugged 2TB Thunderbolt 2-Thunderbolt 3,1,,0,1000883,Archiving/Hardrives,Equipos,966,Disco Duro LACIE Rugged 2TB Thunderbolt 2-Thunderbolt 3,Articulo,
OSY7Q7C02,169,Full Case Odyssey 7Q 02,1,01 C,0,1000884,Full Cases/Kits,Equipos,967,Full Case Odyssey 7Q 02,case,
,,Alimentador D-Tap Odyssey,4,,0,1000885,Power/Alimentadores AC/Asignados,Equipos,968,Alimentador D-Tap Odyssey,Articulo,
MONAPL7C01,166,Full Case Apollo Monitor 01,1,01 C,0,1000886,Full Cases/Kits,Equipos,969,Full Case Apollo Monitor 01,case,
MONAPL7C02,167,Full Case Apollo Monitor 02,1,01 C,0,1000887,Full Cases/Kits,Equipos,970,Full Case Apollo Monitor 02,case,
MONVIEWSOC01,188,Full Case Monitor ViewSonic 01,1,01 D,0,1000888,Full Cases/Kits,Equipos,971,Full Case Monitor ViewSonic 01,case,
MONDELLC01,176,Full Case Dell PC Monitor 01,1,01 D,0,1000889,Full Cases/Kits,Equipos,972,Full Case Dell PC Monitor 01,case,
MONDELLC02,179,Full Case Dell PC Monitor 02,1,01 D,0,1000890,Full Cases/Kits,Equipos,973,Full Case Dell PC Monitor 02,case,
,,Cover Monitor Mosiso,3,,0,1000891,Monitores/Accesorios Monitores,Equipos,974,Cover Monitor Mosiso,Articulo,
,,Mouse Logitech,1,,0,1000892,Hardware/Mouses,Equipos,975,Mouse Logitech,Articulo,
,,Estuche Teclado Hermit Shell,3,,0,1000893,Maletas/Cases/Bultos/Estuches,Equipos,976,Estuche Teclado Hermit Shell,Articulo,
,,Straps,7,,0,1000895,Monitores/Accesorios Monitores,Equipos,978,Straps,Articulo,
,,Cable AC MacPro,4,,0,1000898,Power/Alimentadores AC/Asignados,Equipos,979,Cable AC MacPro,Articulo,
,,Teclado Rii RT518S PC con Trackpad,1,,0,1000902,Hardware/Teclados,Equipos,980,Teclado Rii RT518S PC con Trackpad,Articulo,
,,Case Shock Proof Ipad Orange,7,,0,1000904,Maletas/Cases/Bultos/Cases,Equipos,981,Case Shock Proof Ipad Orange,Articulo,
,,Case Shock Proof Ipad Mini Orange,2,,0,1000905,Maletas/Cases/Bultos/Cases,Equipos,982,Case Shock Proof Ipad Mini Orange,Articulo,
,,Bulto Tough Built Tool Box Yellow/Black,4,08 F,0,1000906,Maletas/Cases/Bultos/Bultos,Equipos,983,Bulto Tough Built Tool Box Yellow/Black,Articulo,
,,Cable Network Cat 6 200ft,1,04 A,0,1000923,Cables/Cables Network,Equipos,984,Cable Network Cat 6 200ft,Articulo,
,,"Cable Network Cat 6 6"" FT",2,07 E,0,1000924,Cables/Cables Network,Equipos,985,"Cable Network Cat 6 6"" FT",Articulo,
,,Power AC Decimator Dmon-Quad,1,,0,1000925,Power/Alimentadores AC/Asignados,Equipos,986,Power AC Decimator Dmon-Quad,Articulo,
2940003455,180,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003457,181,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003463,246,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003333,247,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003469,248,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003374,249,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003735,250,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
2940003101,251,Enclosure OWC 4Bay Thunderbolt3,8,STORAGE 01,1,1000927,Archiving/Enclosure,Equipos,988,Enclosure OWC 4Bay Thunderbolt3,Articulo,
,,Alimentador AC Elgato,1,,0,1000935,Power/Alimentadores AC/Asignados,Equipos,990,Alimentador AC Elgato,Articulo,
,,Panel ProX 8 Entradas,1,,0,1000936,Accesorios,Equipos,991,Panel ProX 8 Entradas,Articulo,
,,Rack Connector HDMI,1,,0,1000937,Accesorios/Accesorios Video,Equipos,992,Rack Connector HDMI,Articulo,
,,Rack Connector Network,1,,0,1000938,Accesorios/Accesorios Network,Equipos,993,Rack Connector Network,Articulo,
,,Carro de Carga Magna Car,2,,0,1000939,Movilidad/Carros,Equipos,994,Carro de Carga Magna Car,Articulo,
,,Arm Car Monitor Mountup,1,,0,1000940,Movilidad/Carros/Accesorios Carros,Equipos,995,Arm Car Monitor Mountup,Articulo,
,,Power AC Hub CalDigit,1,,0,1000941,Power/Alimentadores AC/Asignados,Equipos,996,Power AC Hub CalDigit,Articulo,
,,Power AC Impresora Label Epson LW-PX400,4,,0,1000942,Power/Alimentadores AC/Asignados,Equipos,997,Power AC Impresora Label Epson LW-PX400,Articulo,
,,Power AC Impresora Label Epson LW-400,1,,0,1000943,Power/Alimentadores AC/Asignados,Equipos,998,Power AC Impresora Label Epson LW-400,Articulo,
,,Power AC Monitor ViewSonic,1,,0,1000944,Power/Alimentadores AC/Asignados,Equipos,999,Power AC Monitor ViewSonic,Articulo,
,,Power AC Monitor Apollo,2,,0,1000945,Power/Alimentadores AC/Asignados,Equipos,1000,Power AC Monitor Apollo,Articulo,
,,"Power AC TV LG OLED 55""",1,,0,1000946,Power/Alimentadores AC/Asignados,Equipos,1001,"Power AC TV LG OLED 55""",Articulo,
,,"Power AC TV Samsung 42""",1,,0,1000947,Power/Alimentadores AC/Asignados,Equipos,1002,"Power AC TV Samsung 42""",Articulo,
,,"Cable AC Apple iMac 27""",3,,0,1000948,Power/Alimentadores AC/Asignados,Equipos,1003,"Cable AC Apple iMac 27""",Articulo,
,,Power AC Focusrite Scarlett,1,,0,1000949,Power/Alimentadores AC/Asignados,Equipos,1004,Power AC Focusrite Scarlett,Articulo,
,,Power AC 4-Pin AJA ioXT,2,,0,1000950,Power/Alimentadores AC/Asignados,Equipos,1005,Power AC 4-Pin AJA ioXT,Articulo,
,,Power AC Blackmagic Videohub 12x12,1,,0,1000951,Power/Alimentadores AC/Asignados,Equipos,1006,Power AC Blackmagic Videohub 12x12,Articulo,
,,Power AC Qtake QOD+,1,,0,1000952,Power/Alimentadores AC/Asignados,Equipos,1007,Power AC Qtake QOD+,Articulo,
,,Cable AC Pro FX 120 Audio Channel Mixer,1,,0,1000953,Power/Alimentadores AC/Asignados,Equipos,1008,Cable AC Pro FX 120 Audio Channel Mixer,Articulo,
,,Cable Data USB3 to USB Mini Tangent Element,4,08 E,0,1000954,Cables/Cables Data,Equipos,1009,Cable Data USB3 to USB Mini Tangent Element,Articulo,
,,Power AC Repeater Teradek Link,4,,0,1000956,Power/Alimentadores AC/Asignados,Equipos,1011,Power AC Repeater Teradek Link,Articulo,
,,Power AC Router TP-Link AC1750 Wi-Fi,1,,0,1000957,Power/Alimentadores AC/Asignados,Equipos,1012,Power AC Router TP-Link AC1750 Wi-Fi,Articulo,
,,Cable AC Tape Drive LTO HP Ultrium,3,,0,1000958,Power/Alimentadores AC/Asignados,Equipos,1013,Cable AC Tape Drive LTO HP Ultrium,Articulo,
,,Power AC Enclosure Lacie 2Bay,1,STORAGE 01,0,1000959,Power/Alimentadores AC/Asignados,Equipos,1014,Power AC Enclosure Lacie 2Bay,Articulo,
,,Power AC Enclosure OWC,11,STORAGE 01,0,1000960,Power/Alimentadores AC/Asignados,Equipos,1015,Power AC Enclosure OWC,Articulo,
,,Cable AC Sonnet Echo Express III,1,,0,1000961,Power/Alimentadores AC/Asignados,Equipos,1016,Cable AC Sonnet Echo Express III,Articulo,
,,Cable AC Server Synology RS1221+,1,,0,1000962,Power/Alimentadores AC/Asignados,Equipos,1017,Cable AC Server Synology RS1221+,Articulo,
,,Cable AC Cargador Batería Watson Quad,3,,0,1000963,Power/Alimentadores AC/Asignados,Equipos,1018,Cable AC Cargador Batería Watson Quad,Articulo,
,,Hook ProAim,4,,0,1000964,Movilidad/Carros/Accesorios Carros,Equipos,1019,Hook ProAim,Articulo,
,,Barra Impact 5 Cabezas,2,,0,1000965,Gripería/Accesorios Gripería,Equipos,1020,Barra Impact 5 Cabezas,Articulo,
,,Barra Avenger 5 Cabezas,1,,0,1000966,Gripería/Accesorios Gripería,Equipos,1021,Barra Avenger 5 Cabezas,Articulo,
,,Cable Video BNC 1.5ft,9,08 D,0,1000968,Cables/Cables Video,Equipos,1022,Cable Video BNC 1.5ft,Articulo,
,,Cable Video BNC 1.5ft (Skinny),3,08 D,0,1000969,Cables/Cables Video,Equipos,1023,Cable Video BNC 1.5ft (Skinny),Articulo,
,,Cable Video BNC 2.5ft (Skinny),13,08 D,0,1000970,Cables/Cables Video,Equipos,1024,Cable Video BNC 2.5ft (Skinny),Articulo,
,,Cable Video BNC 3ft (Skinny),1,08 D,0,1000971,Cables/Cables Video,Equipos,1025,Cable Video BNC 3ft (Skinny),Articulo,
,,Cable Video BNC 3.5ft,1,08 D,0,1000972,Cables/Cables Video,Equipos,1026,Cable Video BNC 3.5ft,Articulo,
,,Cable Video BNC 200ft,0,03 A,0,1000973,Cables/Cables Video,Equipos,1027,Cable Video BNC 200ft,Articulo,
,,Cable Video HDMI 1.5ft,5,08 D,0,1000974,Cables/Cables Video,Equipos,1028,Cable Video HDMI 1.5ft,Articulo,
,,Cable Video HDMI 1.5ft Tela,2,08 D,0,1000975,Cables/Cables Video,Equipos,1029,Cable Video HDMI 1.5ft Tela,Articulo,
,,Cable Video HDMI 5ft,1,08 D,0,1000976,Cables/Cables Video,Equipos,1030,Cable Video HDMI 5ft,Articulo,
,,Cable Video HDMI 2ft,2,08 D,0,1000977,Cables/Cables Video,Equipos,1031,Cable Video HDMI 2ft,Articulo,
,,Cable Video HDMI 4K 6.5ft Tela,2,07 E,0,1000978,Cables/Cables Video,Equipos,1032,Cable Video HDMI 4K 6.5ft Tela,Articulo,
,,Cable Video HDMI 10ft Tela,3,07 E,0,1000979,Cables/Cables Video,Equipos,1033,Cable Video HDMI 10ft Tela,Articulo,
,,Cable Video HDMI 6ft,2,08 D,0,1000980,Cables/Cables Video,Equipos,1034,Cable Video HDMI 6ft,Articulo,
,,Cable Video HDMI to Micro 6.5ft,1,08 D,0,1000981,Cables/Cables Video,Equipos,1035,Cable Video HDMI to Micro 6.5ft,Articulo,
,,Cable Video HDMI to Micro 6ft,1,08 D,0,1000982,Cables/Cables Video,Equipos,1036,Cable Video HDMI to Micro 6ft,Articulo,
,,Cable Video HDMI Mini to Micro 3ft,1,08 D,0,1000983,Cables/Cables Video,Equipos,1037,Cable Video HDMI Mini to Micro 3ft,Articulo,
,,Cable Video HDMI to Mini 6ft,2,08 D,0,1000984,Cables/Cables Video,Equipos,1038,Cable Video HDMI to Mini 6ft,Articulo,
,,Codo HDMI Male to Female,7,,0,1000985,Accesorios/Accesorios Video,Equipos,1039,Codo HDMI Male to Female,Articulo,
,,Adaptador HDMI to Micro,1,,0,1000986,Accesorios/Accesorios Video,Equipos,1040,Adaptador HDMI to Micro,Articulo,
,,Codo HDMI Female to Female,2,,0,1000987,Accesorios/Accesorios Video,Equipos,1041,Codo HDMI Female to Female,Articulo,
,,Adaptador HDMI Female to Male,2,,0,1000988,Accesorios/Accesorios Video,Equipos,1042,Adaptador HDMI Female to Male,Articulo,
,,Cable Video HDMI 25ft,2,07 E,0,1000989,Cables/Cables Video,Equipos,1043,Cable Video HDMI 25ft,Articulo,
,,Cable Video DisplayPort 6ft,2,08 D,0,1000990,Cables/Cables Video,Equipos,1044,Cable Video DisplayPort 6ft,Articulo,
,,Cable Video DisplayPort to USB-C 6ft,1,08 D,0,1000991,Cables/Cables Video,Equipos,1045,Cable Video DisplayPort to USB-C 6ft,Articulo,
,,"Cable Data USB2 - Lightning 9.5"" Tela",4,08 E,0,1000992,Cables/Cables Data,Equipos,1046,"Cable Data USB2 - Lightning 9.5"" Tela",Articulo,
,,"Cable Data USB3 - USBC 10gb 5.5""",3,08 E,0,1000993,Cables/Cables Data,Equipos,1047,"Cable Data USB3 - USBC 10gb 5.5""",Articulo,
,,"Cable Data USBC 10Gb 5.5""",3,08 E,0,1000994,Cables/Cables Data,Equipos,1048,"Cable Data USBC 10Gb 5.5""",Articulo,
,,"Cable Data USB2 - USBC 9.5""",1,08 E,0,1000995,Cables/Cables Data,Equipos,1049,"Cable Data USB2 - USBC 9.5""",Articulo,
,,Cable Data USB3 - USBC 1.5ft,5,08 E,0,1000996,Cables/Cables Data,Equipos,1050,Cable Data USB3 - USBC 1.5ft,Articulo,
,,Cable Data USBC 10Gb 1.5ft,7,08 E,0,1000997,Cables/Cables Data,Equipos,1051,Cable Data USBC 10Gb 1.5ft,Articulo,
,,Cable Data USBC 2ft,1,08 E,0,1000998,Cables/Cables Data,Equipos,1052,Cable Data USBC 2ft,Articulo,
,,Cable Data USB2 - USBC 3ft,3,08 E,0,1000999,Cables/Cables Data,Equipos,1053,Cable Data USB2 - USBC 3ft,Articulo,
,,Cable Data USB3 - USBC 3ft,7,08 E,0,1001000,Cables/Cables Data,Equipos,1054,Cable Data USB3 - USBC 3ft,Articulo,
,,Cable Data USB3 - USB3 Micro 1.5ft,15,08 E,0,1001001,Cables/Cables Data,Equipos,1055,Cable Data USB3 - USB3 Micro 1.5ft,Articulo,
,,Cable Data USB3 - USB3 Micro 2ft,3,08 E,0,1001002,Cables/Cables Data,Equipos,1056,Cable Data USB3 - USB3 Micro 2ft,Articulo,
,,Cable Data USB3 - USB3 Micro 3.5ft,3,08 E,0,1001003,Cables/Cables Data,Equipos,1057,Cable Data USB3 - USB3 Micro 3.5ft,Articulo,
,,Cable Data USB3 - USB3 Micro 3ft,3,08 E,0,1001004,Cables/Cables Data,Equipos,1058,Cable Data USB3 - USB3 Micro 3ft,Articulo,
,,Cable Data USB3 - USB3 (B) 6ft,4,08 E,0,1001005,Cables/Cables Data,Equipos,1059,Cable Data USB3 - USB3 (B) 6ft,Articulo,
,,Cable Data USB3 - USB3 Micro 6ft,1,08 E,0,1001006,Cables/Cables Data,Equipos,1060,Cable Data USB3 - USB3 Micro 6ft,Articulo,
,,Cable Data USB3 - USB3 (B) 3ft,8,08 E,0,1001007,Cables/Cables Data,Equipos,1061,Cable Data USB3 - USB3 (B) 3ft,Articulo,
,,Cable Video HDMI 4K 25ft Tela,1,07 E,0,1001008,Cables/Cables Video,Equipos,1062,Cable Video HDMI 4K 25ft Tela,Articulo,
,,"Cable Data USB2 - USB2 Micro 10""",6,08 E,0,1001009,Cables/Cables Data,Equipos,1063,"Cable Data USB2 - USB2 Micro 10""",Articulo,
,,Cable Data USB2 - USB2 Mini 1.5ft,3,08 E,0,1001010,Cables/Cables Data,Equipos,1064,Cable Data USB2 - USB2 Mini 1.5ft,Articulo,
,,Cable Data USB2 - USB2 Micro 2ft,4,08 E,0,1001011,Cables/Cables Data,Equipos,1065,Cable Data USB2 - USB2 Micro 2ft,Articulo,
,,Cable Data USB2 - USB2 Mini 2.5ft,1,08 E,0,1001012,Cables/Cables Data,Equipos,1066,Cable Data USB2 - USB2 Mini 2.5ft,Articulo,
,,Cable Data USB2 - USB2 (B) 6ft,6,08 E,0,1001013,Cables/Cables Data,Equipos,1067,Cable Data USB2 - USB2 (B) 6ft,Articulo,
,,Cable Data USB2 - USB2 Mini 3ft,2,08 E,0,1001014,Cables/Cables Data,Equipos,1068,Cable Data USB2 - USB2 Mini 3ft,Articulo,
,,Cable Data USB2 - USB2 (B) 3.5ft,2,08 E,0,1001015,Cables/Cables Data,Equipos,1069,Cable Data USB2 - USB2 (B) 3.5ft,Articulo,
,,Cable Data USB2 - USB2 Mini 5ft,3,08 E,0,1001016,Cables/Cables Data,Equipos,1070,Cable Data USB2 - USB2 Mini 5ft,Articulo,
,,Cable Data USB2 - USB2 Female 3ft,1,08 E,0,1001017,Cables/Cables Data,Equipos,1071,Cable Data USB2 - USB2 Female 3ft,Articulo,
,,Cable Data Thunberbolt 2 6.5ft,3,08 E,0,1001018,Cables/Cables Data,Equipos,1072,Cable Data Thunberbolt 2 6.5ft,Articulo,
,,Cable Data Thunderbolt 2 1.5ft,7,08 E,0,1001019,Cables/Cables Data,Equipos,1073,Cable Data Thunderbolt 2 1.5ft,Articulo,
,,Cable Data Thunderbolt 3 2ft,9,08 E,0,1001020,Cables/Cables Data,Equipos,1074,Cable Data Thunderbolt 3 2ft,Articulo,
,,Cable Audio XLR 100ft,2,04 A,0,1001021,Cables/Cables Audio,Equipos,1075,Cable Audio XLR 100ft,Articulo,
,,"Adaptador Audio XLR - 1/4"" 1ft",2,,0,1001022,Accesorios/Accesorios Audio,Equipos,1076,"Adaptador Audio XLR - 1/4"" 1ft",Articulo,
,,Cable Audio Splitter XLR Fe / Ma 1.5ft,2,08 E,0,1001023,Cables/Cables Audio,Equipos,1077,Cable Audio Splitter XLR Fe / Ma 1.5ft,Articulo,
,,Cable Audio Fe / Ma 2ft,2,08 E,0,1001024,Cables/Cables Audio,Equipos,1078,Cable Audio Fe / Ma 2ft,Articulo,
,,Adaptador Audio XLR Fe to MiniJack 1ft,1,,0,1001025,Accesorios/Accesorios Audio,Equipos,1079,Adaptador Audio XLR Fe to MiniJack 1ft,Articulo,
,,Cable Audio XLR Fe/Ma 1ft,2,04 A,0,1001026,Cables/Cables Audio,Equipos,1080,Cable Audio XLR Fe/Ma 1ft,Articulo,
,,Adaptador Audio XLR Fe - MiniJack 2ft,2,,0,1001027,Accesorios/Accesorios Audio,Equipos,1081,Adaptador Audio XLR Fe - MiniJack 2ft,Articulo,
,,Cable Audio MiniJack Tela 1.5ft,2,08 E,0,1001028,Cables/Cables Audio,Equipos,1082,Cable Audio MiniJack Tela 1.5ft,Articulo,
,,Cable Audio MiniJack Tela 3ft,2,08 E,0,1001029,Cables/Cables Audio,Equipos,1083,Cable Audio MiniJack Tela 3ft,Articulo,
,,Cable Audio MiniJack 5ft,3,04 A,0,1001030,Cables/Cables Audio,Equipos,1084,Cable Audio MiniJack 5ft,Articulo,
,,"Adaptador Audio Splitter MiniJack 9""",1,,0,1001031,Accesorios/Accesorios Audio,Equipos,1085,"Adaptador Audio Splitter MiniJack 9""",Articulo,
,,Cable Audio MiniJack / RCA 5ft,1,04 A,0,1001032,Cables/Cables Audio,Equipos,1086,Cable Audio MiniJack / RCA 5ft,Articulo,
,,Adaptador Audio MiniJack / TRS,2,,0,1001033,Accesorios/Accesorios Audio,Equipos,1087,Adaptador Audio MiniJack / TRS,Articulo,
,,Adaptador Audio MiniJack / USBC 1ft,1,,0,1001034,Accesorios/Accesorios Audio,Equipos,1088,Adaptador Audio MiniJack / USBC 1ft,Articulo,
,,Adaptador Audio MiniJack,1,,0,1001035,Accesorios/Accesorios Audio,Equipos,1089,Adaptador Audio MiniJack,Articulo,
,,Cable Network Cat 6 3ft,6,07 E,0,1001036,Cables/Cables Network,Equipos,1090,Cable Network Cat 6 3ft,Articulo,
,,Cable Network Cat 6 1ft,2,07 E,0,1001037,Cables/Cables Network,Equipos,1091,Cable Network Cat 6 1ft,Articulo,
,,Cable Network - USB2 3ft,1,07 E,0,1001038,Cables/Cables Network,Equipos,1092,Cable Network - USB2 3ft,Articulo,
,,Cable Network Cat 6 10ft,1,07 E,0,1001039,Cables/Cables Network,Equipos,1093,Cable Network Cat 6 10ft,Articulo,
,,Cable Network Cat 7 Tela 25ft,2,04 A,0,1001040,Cables/Cables Network,Equipos,1094,Cable Network Cat 7 Tela 25ft,Articulo,
,,Cable Network Cat 6 25ft,3,04 A,0,1001041,Cables/Cables Network,Equipos,1095,Cable Network Cat 6 25ft,Articulo,
,,Cable Network Cat 5E 50ft,1,04 A,0,1001042,Cables/Cables Network,Equipos,1096,Cable Network Cat 5E 50ft,Articulo,
,,Color Chart Datacolor SpyderCheckr 24,1,,0,1001043,Accesorios/Accesorios Color,Equipos,1097,Color Chart Datacolor SpyderCheckr 24,Articulo,
,,Codo BNC Female - Female,18,,0,1001045,Accesorios/Accesorios Video,Equipos,1098,Codo BNC Female - Female,Articulo,
,,Rack Color Connector Frames,12,,0,1001046,Accesorios/Accesorios Video,Equipos,1099,Rack Color Connector Frames,Articulo,
,,Connector Round Cap,43,,0,1001047,Accesorios/Accesorios Video,Equipos,1100,Connector Round Cap,Articulo,
,,Rack Connector XLR Male,2,,0,1001048,Accesorios/Accesorios Audio,Equipos,1101,Rack Connector XLR Male,Articulo,
,,Rack Connector XLR Female,2,,0,1001049,Accesorios/Accesorios Audio,Equipos,1102,Rack Connector XLR Female,Articulo,
AJASPLTC02,185,Full Case AJA Splitter HDTV 02,1,06 B,0,1001051,Full Cases/Kits,Equipos,1103,Full Case AJA Splitter HDTV 02,case,
,,Power AC AJA D-Tap,2,,0,1001053,Power/Alimentadores AC/Asignados,Equipos,1104,Power AC AJA D-Tap,Articulo,
,,Cable Data Thunderbolt 2 3ft,12,08 E,0,1001054,Cables/Cables Data,Equipos,1105,Cable Data Thunderbolt 2 3ft,Articulo,
,,Case Pelican 1300 (Black),3,,0,1001056,Maletas/Cases/Bultos/Cases,Equipos,1106,Case Pelican 1300 (Black),Articulo,
,,Power AC Switch TP-Link 8Port,1,,0,1001057,Power/Alimentadores AC/Asignados,Equipos,1107,Power AC Switch TP-Link 8Port,Articulo,
,,Cable AC BM Smart  VideoHub 12x12,1,,0,1001059,Power/Alimentadores AC/Asignados,Equipos,1108,Cable AC BM Smart  VideoHub 12x12,Articulo,
,,Power AC 2-Pin AJA HD/SD Sync Gen,1,,0,1001060,Gastables,Equipos,1109,Power AC 2-Pin AJA HD/SD Sync Gen,Articulo,
,,Cable Video DisplayPort - Thunderbolt 2 6ft,1,08 D,0,1001061,Cables/Cables Video,Equipos,1110,Cable Video DisplayPort - Thunderbolt 2 6ft,Articulo,
,,Cable Audio XLR Fe/Ma 3ft,1,,0,1001062,Gastables,Equipos,1111,Cable Audio XLR Fe/Ma 3ft,Articulo,
,,Carro ProAim Victor Medium,1,,0,1001063,Movilidad/Carros,Equipos,1112,Carro ProAim Victor Medium,Articulo,
,,Cable AC Batería Watson Dual,2,,0,1001064,Gastables,Equipos,1113,Cable AC Batería Watson Dual,Articulo,
,,Power AC Router Maxell Rabbit,1,,0,1001065,Power/Alimentadores AC/Asignados,Equipos,1114,Power AC Router Maxell Rabbit,Articulo,
,,Power AC Serv Pro D-Tap 2-Pin Lemo,2,,0,1001066,Wireless Systems,Equipos,1115,Power AC Serv Pro D-Tap 2-Pin Lemo,Articulo,
,,UPS CyberPower 1000,1,,0,1001067,Power/UPS,Equipos,1116,UPS CyberPower 1000,Articulo,
,,Cable Tester CT-20,1,,0,1001069,Accesorios/Herramientas,Equipos,1117,Cable Tester CT-20,Articulo,
